County,Population,Firearm Homicide,Total Homicide,Firearm Suicides,Total Suicides
"Beltrami County, MN",506183.0,15.0,29.0,40.0,93.0
"Ben Hill County, GA",189567.0,15.0,17.0,16.0,24.0
"Benton County, AR",2775567.0,33.0,60.0,233.0,430.0
"Benton County, MO",209802.0,12.0,17.0,38.0,64.0
"Benton County, MS",92697.0,10.0,13.0,,11.0
"Benton County, OR",977145.0,,11.0,71.0,133.0
"Benton County, TN",178319.0,10.0,11.0,29.0,45.0
"Benton County, WA",2104084.0,36.0,54.0,181.0,329.0
"Bergen County, NJ",10219259.0,60.0,128.0,157.0,810.0
"Berkeley County, SC",2259980.0,124.0,149.0,211.0,347.0
"Berkeley County, WV",1234985.0,26.0,47.0,129.0,226.0
"Berks County, PA",4575193.0,121.0,181.0,356.0,705.0
"Berkshire County, MA",1406900.0,15.0,28.0,56.0,188.0
"Bernalillo County, NM",7426663.0,440.0,649.0,848.0,1617.0
"Berrien County, MI",1703778.0,56.0,72.0,134.0,249.0
"Bertie County, NC",219221.0,14.0,20.0,13.0,24.0
"Bethel Census Area, AK",196830.0,11.0,30.0,48.0,93.0
"Bexar County, TX",20731543.0,1098.0,1465.0,1258.0,2385.0
"Bibb County, AL",248120.0,17.0,21.0,29.0,38.0
"Bibb County, GA",1695402.0,216.0,268.0,138.0,203.0
"Big Horn County, MT",145008.0,11.0,24.0,21.0,30.0
"Bingham County, ID",503959.0,11.0,16.0,60.0,105.0
"Black Hawk County, IA",1453331.0,44.0,60.0,71.0,195.0
"Bladen County, NC",374893.0,33.0,40.0,28.0,41.0
"Blair County, PA",1372606.0,17.0,23.0,110.0,191.0
"Blount County, AL",635351.0,28.0,38.0,83.0,122.0
"Blount County, TN",1407566.0,22.0,37.0,146.0,230.0
"Blue Earth County, MN",726923.0,,12.0,41.0,97.0
"Bolivar County, MS",359744.0,54.0,69.0,29.0,33.0
"Bonner County, ID",469683.0,10.0,13.0,77.0,115.0
"Bonneville County, ID",1227796.0,15.0,26.0,163.0,278.0
"Boone County, AR",410317.0,16.0,22.0,65.0,94.0
"Boone County, IL",590797.0,,12.0,23.0,56.0
"Boone County, IN",693518.0,,17.0,60.0,107.0
"Boone County, KY",1402205.0,18.0,26.0,109.0,192.0
"Boone County, MO",1913592.0,74.0,84.0,142.0,244.0
"Boone County, WV",254489.0,,15.0,39.0,54.0
"Bossier Parish, LA",1368160.0,57.0,85.0,135.0,196.0
"Boulder County, CO",3466201.0,19.0,45.0,288.0,638.0
"Bourbon County, KY",219979.0,,10.0,17.0,27.0
"Bowie County, TX",1027579.0,49.0,80.0,117.0,190.0
"Boyd County, KY",530800.0,,16.0,66.0,98.0
"Boyle County, KY",324637.0,,10.0,47.0,64.0
"Bradford County, FL",302794.0,12.0,17.0,28.0,53.0
"Bradford County, PA",676712.0,,16.0,73.0,130.0
"Bradley County, AR",122037.0,,12.0,13.0,19.0
"Bradley County, TN",1143024.0,31.0,44.0,102.0,167.0
"Brazoria County, TX",3814220.0,107.0,166.0,304.0,489.0
"Brazos County, TX",2352272.0,50.0,75.0,123.0,212.0
"Breathitt County, KY",145929.0,14.0,17.0,23.0,31.0
"Breckinridge County, KY",221806.0,10.0,13.0,29.0,38.0
"Brevard County, FL",6285587.0,240.0,346.0,764.0,1389.0
"Bristol County, MA",6127846.0,75.0,127.0,160.0,687.0
"Bronx County, NY",15676280.0,687.0,1160.0,92.0,839.0
"Brooke County, WV",253619.0,,10.0,34.0,50.0
"Brooks County, GA",171728.0,,11.0,20.0,26.0
"Broome County, NY",2149681.0,19.0,60.0,95.0,256.0
"Broomfield County, CO",705051.0,14.0,20.0,58.0,117.0
"Broward County, FL",20655532.0,867.0,1161.0,1186.0,2582.0
"Brown County, OH",483916.0,13.0,16.0,52.0,93.0
"Brown County, TX",417160.0,,13.0,54.0,81.0
"Brown County, WI",2837408.0,30.0,52.0,181.0,423.0
"Brunswick County, NC",1373140.0,32.0,53.0,126.0,214.0
"Bryan County, GA",387805.0,17.0,19.0,48.0,69.0
"Bryan County, OK",498595.0,15.0,25.0,57.0,98.0
"Buchanan County, MO",977258.0,37.0,66.0,73.0,170.0
"Buchanan County, VA",247547.0,16.0,18.0,43.0,60.0
"Bucks County, PA",6899376.0,60.0,121.0,397.0,956.0
"Bullitt County, KY",863159.0,20.0,27.0,100.0,157.0
"Bulloch County, GA",820358.0,32.0,40.0,63.0,91.0
"Bullock County, AL",114915.0,13.0,14.0,,11.0
"Buncombe County, NC",2773322.0,72.0,112.0,256.0,531.0
"Burke County, GA",250986.0,26.0,31.0,23.0,31.0
"Burke County, NC",989920.0,34.0,47.0,101.0,180.0
"Burleigh County, ND",998806.0,,20.0,94.0,161.0
"Burlington County, NJ",4935641.0,88.0,136.0,145.0,488.0
"Burnet County, TX",501941.0,11.0,25.0,51.0,74.0
"Butler County, AL",221074.0,34.0,39.0,25.0,33.0
"Butler County, KS",730866.0,11.0,16.0,84.0,151.0
"Butler County, MO",470635.0,15.0,29.0,63.0,95.0
"Butler County, OH",4139802.0,117.0,156.0,261.0,523.0
"Butler County, PA",2050748.0,16.0,24.0,168.0,271.0
"Butte County, CA",2452891.0,54.0,91.0,243.0,475.0
"Butts County, GA",263436.0,12.0,18.0,27.0,46.0
"Cabarrus County, NC",2177804.0,67.0,85.0,153.0,270.0
"Cabell County, WV",1048735.0,56.0,79.0,99.0,173.0
"Cache County, UT",1331462.0,,12.0,85.0,196.0
"Caddo County, OK",322222.0,12.0,22.0,43.0,73.0
"Caddo Parish, LA",2744100.0,374.0,450.0,233.0,332.0
"Calaveras County, CA",497995.0,11.0,18.0,88.0,133.0
"Calcasieu Parish, LA",2185545.0,111.0,162.0,240.0,382.0
"Caldwell County, NC",901852.0,31.0,48.0,102.0,164.0
"Caldwell County, TX",449195.0,12.0,22.0,40.0,64.0
"Calhoun County, AL",1272627.0,95.0,125.0,178.0,238.0
"Calhoun County, GA",70954.0,,10.0,,
"Calhoun County, MI",1481679.0,49.0,81.0,148.0,262.0
"Calhoun County, MS",161058.0,14.0,16.0,15.0,17.0
"Calhoun County, SC",163071.0,14.0,17.0,20.0,30.0
"Callaway County, MO",491629.0,20.0,21.0,51.0,86.0
"Calloway County, KY",421464.0,11.0,17.0,55.0,76.0
"Calvert County, MD",999666.0,10.0,18.0,70.0,136.0
"Cambria County, PA",1502013.0,49.0,71.0,167.0,272.0
"Camden County, GA",577713.0,12.0,16.0,55.0,90.0
"Camden County, MO",492309.0,,14.0,64.0,99.0
"Camden County, NJ",5616479.0,378.0,492.0,135.0,575.0
"Cameron County, TX",4612835.0,62.0,107.0,148.0,314.0
"Campbell County, KY",1012526.0,17.0,23.0,66.0,122.0
"Campbell County, TN",440180.0,,18.0,57.0,92.0
"Campbell County, VA",605367.0,19.0,29.0,70.0,104.0
"Campbell County, WY",520543.0,,11.0,77.0,121.0
"Canadian County, OK",1469079.0,30.0,51.0,155.0,250.0
"Candler County, GA",120433.0,,10.0,13.0,20.0
"Cannon County, TN",154975.0,,12.0,22.0,33.0
"Canyon County, ID",2302795.0,30.0,50.0,252.0,422.0
"Cape Girardeau County, MO",857401.0,37.0,45.0,92.0,153.0
"Cape May County, NJ",1040266.0,,16.0,48.0,124.0
"Carbon County, PA",708533.0,13.0,21.0,110.0,184.0
"Caroline County, MD",362824.0,,10.0,30.0,50.0
"Caroline County, VA",328247.0,,14.0,45.0,62.0
"Carroll County, AR",306293.0,,11.0,45.0,72.0
"Carroll County, GA",1268078.0,36.0,51.0,125.0,213.0
"Carroll County, IN",220767.0,,11.0,20.0,31.0
"Carroll County, MD",1846065.0,16.0,32.0,112.0,236.0
"Carroll County, MS",112259.0,10.0,12.0,15.0,20.0
"Carroll County, TN",309680.0,13.0,17.0,38.0,55.0
"Carson City, NV",605525.0,,24.0,101.0,182.0
"Carter County, KY",298770.0,,12.0,26.0,39.0
"Carter County, OK",531126.0,26.0,41.0,80.0,119.0
"Carter County, TN",624824.0,15.0,19.0,72.0,114.0
"Carteret County, NC",753924.0,18.0,25.0,91.0,166.0
"Cascade County, MT",899657.0,19.0,37.0,121.0,228.0
"Cass County, MI",569702.0,,11.0,60.0,106.0
"Cass County, MN",318708.0,10.0,18.0,34.0,57.0
"Cass County, MO",1127148.0,31.0,42.0,156.0,231.0
"Cass County, ND",1860028.0,15.0,35.0,125.0,272.0
"Cass County, TX",332202.0,17.0,22.0,58.0,79.0
"Cassia County, ID",259103.0,,10.0,30.0,48.0
"Caswell County, NC",252853.0,13.0,16.0,30.0,36.0
"Catahoula Parish, LA",109684.0,,11.0,,12.0
"Catawba County, NC",1720221.0,71.0,98.0,177.0,305.0
"Catoosa County, GA",726444.0,15.0,16.0,66.0,108.0
"Cattaraugus County, NY",858866.0,,11.0,67.0,125.0
"Cayuga County, NY",861118.0,,10.0,32.0,107.0
"Cecil County, MD",1125625.0,24.0,49.0,100.0,187.0
"Centre County, PA",1749418.0,,14.0,99.0,187.0
"Cerro Gordo County, IA",474999.0,,13.0,36.0,95.0
"Chambers County, AL",371869.0,30.0,39.0,56.0,76.0
"Chambers County, TX",433885.0,18.0,25.0,49.0,68.0
"Champaign County, IL",2273615.0,61.0,85.0,80.0,239.0
"Champaign County, OH",431213.0,,10.0,45.0,78.0
"Charles County, MD",1716603.0,74.0,100.0,117.0,187.0
"Charles Mix County, SD",102180.0,,15.0,,26.0
"Charleston County, SC",4249369.0,415.0,495.0,323.0,612.0
"Charlotte County, FL",1918380.0,20.0,29.0,256.0,387.0
"Charlottesville city, VA",504745.0,17.0,25.0,20.0,39.0
"Charlton County, GA",143007.0,,14.0,16.0,24.0
"Chatham County, GA",3109546.0,325.0,392.0,266.0,456.0
"Chatham County, NC",767191.0,18.0,31.0,59.0,105.0
"Chattooga County, GA",276491.0,12.0,16.0,26.0,43.0
"Chautauqua County, NY",1438148.0,10.0,29.0,95.0,192.0
"Chaves County, NM",718947.0,81.0,97.0,89.0,149.0
"Cheatham County, TN",438868.0,23.0,31.0,69.0,99.0
"Chelan County, WA",828497.0,15.0,23.0,80.0,145.0
"Chemung County, NY",952139.0,15.0,29.0,36.0,110.0
"Cherokee County, AL",286270.0,17.0,20.0,41.0,63.0
"Cherokee County, GA",2613396.0,37.0,56.0,226.0,378.0
"Cherokee County, NC",305227.0,,14.0,49.0,71.0
"Cherokee County, OK",531726.0,23.0,38.0,56.0,111.0
"Cherokee County, SC",620092.0,35.0,50.0,90.0,128.0
"Cherokee County, TX",568534.0,18.0,22.0,64.0,103.0
"Chesapeake city, VA",2587864.0,127.0,155.0,188.0,341.0
"Cheshire County, NH",840060.0,13.0,17.0,80.0,162.0
"Chester County, PA",5656948.0,59.0,86.0,289.0,656.0
"Chester County, SC",356993.0,33.0,41.0,48.0,64.0
"Chesterfield County, SC",506704.0,37.0,51.0,64.0,83.0
"Chesterfield County, VA",3698511.0,152.0,181.0,296.0,525.0
"Chickasaw County, MS",189501.0,11.0,21.0,16.0,21.0
"Chicot County, AR",120557.0,12.0,17.0,,15.0
"Chilton County, AL",484168.0,20.0,28.0,53.0,79.0
"Chippewa County, MI",418543.0,,10.0,31.0,68.0
"Chittenden County, VT",1770523.0,,28.0,106.0,234.0
"Choctaw County, AL",144806.0,10.0,14.0,13.0,18.0
"Choctaw County, OK",164574.0,14.0,22.0,25.0,37.0
"Chowan County, NC",158385.0,,11.0,11.0,16.0
"Christian County, KY",801076.0,59.0,75.0,86.0,145.0
"Christian County, MO",918161.0,17.0,27.0,107.0,165.0
"Cibola County, NM",298333.0,11.0,27.0,32.0,69.0
"Citrus County, FL",1580197.0,42.0,68.0,290.0,421.0
"Clackamas County, OR",4401398.0,51.0,80.0,390.0,734.0
"Claiborne County, MS",101011.0,17.0,21.0,,
"Claiborne Parish, LA",179517.0,,17.0,22.0,30.0
"Clallam County, WA",815797.0,18.0,34.0,133.0,224.0
"Clarendon County, SC",375165.0,25.0,33.0,44.0,55.0
"Clark County, AR",248175.0,14.0,21.0,21.0,37.0
"Clark County, IN",1264256.0,38.0,55.0,123.0,197.0
"Clark County, KY",394906.0,11.0,17.0,39.0,64.0
"Clark County, NV",23308421.0,1050.0,1557.0,2225.0,4296.0
"Clark County, OH",1493514.0,73.0,90.0,117.0,255.0
"Clark County, WA",5060012.0,75.0,130.0,392.0,870.0
"Clarke County, AL",270824.0,15.0,21.0,30.0,42.0
"Clarke County, GA",1355666.0,48.0,59.0,97.0,161.0
"Clarke County, MS",176911.0,11.0,14.0,19.0,24.0
"Clatsop County, OR",422267.0,,10.0,48.0,90.0
"Clay County, FL",2255379.0,71.0,99.0,228.0,387.0
"Clay County, KY",229299.0,17.0,23.0,31.0,39.0
"Clay County, MN",682539.0,,12.0,40.0,94.0
"Clay County, MO",2606204.0,76.0,101.0,285.0,479.0
"Clay County, MS",219742.0,10.0,14.0,24.0,27.0
"Clay County, WV",98239.0,14.0,14.0,18.0,24.0
"Clayton County, GA",3031693.0,344.0,411.0,160.0,252.0
"Clearfield County, PA",885166.0,,14.0,116.0,174.0
"Cleburne County, AL",164419.0,,11.0,25.0,29.0
"Cleburne County, AR",279597.0,12.0,17.0,42.0,57.0
"Clermont County, OH",2225917.0,18.0,28.0,186.0,346.0
"Cleveland County, NC",1073148.0,50.0,65.0,99.0,180.0
"Cleveland County, OK",3007425.0,59.0,91.0,289.0,476.0
"Clinton County, NY",893212.0,,16.0,52.0,113.0
"Clinton County, OH",461407.0,,12.0,36.0,64.0
"Coahoma County, MS",265661.0,73.0,89.0,18.0,23.0
"Cobb County, GA",8066432.0,246.0,323.0,543.0,941.0
"Cochise County, AZ",1410739.0,34.0,56.0,243.0,336.0
"Cocke County, TN",391570.0,,24.0,56.0,90.0
"Coconino County, AZ",1528756.0,38.0,102.0,173.0,369.0
"Coffee County, AL",565365.0,16.0,24.0,74.0,90.0
"Coffee County, GA",473139.0,27.0,36.0,47.0,67.0
"Coffee County, TN",599859.0,,27.0,87.0,143.0
"Colbert County, AL",600933.0,21.0,29.0,74.0,99.0
"Cole County, MO",841848.0,32.0,40.0,79.0,126.0
"Coles County, IL",577193.0,,17.0,22.0,55.0
"Colfax County, NM",139206.0,,14.0,21.0,44.0
"Colleton County, SC",417298.0,59.0,67.0,55.0,75.0
"Collier County, FL",3922184.0,68.0,101.0,262.0,530.0
"Collin County, TX",10104488.0,135.0,194.0,615.0,1093.0
"Colonial Heights city, VA",193525.0,,14.0,23.0,40.0
"Colorado County, TX",231298.0,,13.0,27.0,40.0
"Colquitt County, GA",503778.0,41.0,49.0,57.0,80.0
"Columbia County, AR",263490.0,18.0,20.0,30.0,49.0
"Columbia County, FL",760484.0,44.0,64.0,93.0,145.0
"Columbia County, GA",1572928.0,28.0,43.0,145.0,220.0
"Columbia County, OR",556616.0,,14.0,81.0,130.0
"Columbia County, PA",729863.0,10.0,19.0,77.0,124.0
"Columbia County, WI",627025.0,,11.0,67.0,122.0
"Columbiana County, OH",1150731.0,19.0,37.0,120.0,213.0
"Columbus County, NC",622699.0,75.0,102.0,54.0,75.0
"Comal County, TX",1451232.0,30.0,47.0,170.0,273.0
"Comanche County, OK",1356853.0,102.0,134.0,146.0,229.0
"Concordia Parish, LA",220644.0,27.0,34.0,25.0,35.0
"Conecuh County, AL",138602.0,14.0,17.0,18.0,24.0
"Conejos County, CO",90355.0,,10.0,17.0,25.0
"Contra Costa County, CA",12265647.0,588.0,734.0,451.0,1266.0
"Conway County, AR",231804.0,,12.0,24.0,44.0
"Cook County, GA",188831.0,13.0,16.0,22.0,25.0
"Cook County, IL",57222250.0,6273.0,7291.0,1508.0,4814.0
"Cooke County, TX",434363.0,10.0,17.0,53.0,100.0
"Coos County, NH",350700.0,,10.0,51.0,76.0
"Coos County, OR",697482.0,16.0,32.0,123.0,210.0
"Coosa County, AL",119089.0,12.0,13.0,16.0,23.0
"Copiah County, MS",315681.0,26.0,33.0,32.0,45.0
"Coryell County, TX",833479.0,21.0,32.0,77.0,146.0
"Covington County, AL",412928.0,14.0,17.0,43.0,62.0
"Covington County, MS",211867.0,25.0,32.0,22.0,38.0
"Coweta County, GA",1523915.0,47.0,62.0,150.0,222.0
"Cowley County, KS",392694.0,,13.0,45.0,65.0
"Cowlitz County, WA",1157366.0,18.0,31.0,112.0,217.0
"Craighead County, AR",1146938.0,50.0,72.0,117.0,175.0
"Craven County, NC",1137818.0,51.0,69.0,100.0,163.0
"Crawford County, AR",686213.0,19.0,29.0,80.0,145.0
"Crawford County, KS",430265.0,11.0,16.0,32.0,66.0
"Crawford County, MO",268067.0,,26.0,35.0,58.0
"Crawford County, PA",951943.0,12.0,30.0,97.0,163.0
"Creek County, OK",780706.0,39.0,50.0,120.0,181.0
"Crenshaw County, AL",152887.0,13.0,14.0,18.0,23.0
"Crisp County, GA",252370.0,25.0,33.0,31.0,37.0
"Crittenden County, AR",541603.0,78.0,102.0,41.0,64.0
"Crockett County, TN",159244.0,10.0,13.0,18.0,23.0
"Cross County, AR",188530.0,11.0,13.0,23.0,40.0
"Cullman County, AL",902438.0,22.0,34.0,102.0,176.0
"Culpeper County, VA",548578.0,13.0,16.0,52.0,87.0
"Cumberland County, ME",3182438.0,21.0,43.0,186.0,443.0
"Cumberland County, NC",3608278.0,302.0,382.0,338.0,544.0
"Cumberland County, NJ",1696195.0,88.0,128.0,52.0,153.0
"Cumberland County, PA",2702446.0,23.0,40.0,202.0,360.0
"Cumberland County, TN",642923.0,21.0,30.0,109.0,145.0
"Curry County, NM",547204.0,20.0,35.0,56.0,89.0
"Custer County, OK",317156.0,13.0,15.0,36.0,50.0
"Cuyahoga County, OH",13799108.0,1284.0,1618.0,827.0,1748.0
"Dakota County, MN",4566858.0,47.0,69.0,237.0,557.0
"Dale County, AL",545211.0,31.0,36.0,61.0,90.0
"Dallas County, AL",445681.0,124.0,137.0,28.0,42.0
